"","row","col","value"
"302","Rhizophora apiculata Blume","Sonneratia alba J. Smith",73.192453793852
"303","Rhizophorata mucronata Lamk","Sonneratia alba J. Smith",73.192453793852
"304","Rhizophora annamalayana Kathiresan","Sonneratia alba J. Smith",73.192453793852
"305","Scyphiphora hydrophyllacea C. F. Gaertn","Sonneratia alba J. Smith",53.0867941392409
"306","Brownlowia tersa (L.) Kosterm ","Sonneratia alba J. Smith",73.192453793852
"307","Acanthus ilicifolius Linnaeus","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"308","Avicennia alba Blume","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"309","Avicennia marina (Forsk.) Vierh","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"310","Avicennia officinalis L.","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"311","Nypa fruticans (Thunb.) Wurmb. ","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"312","Lumnitzera racemosa Willd.","Sonneratia caeseolaris (L.) Engl.",31.434545280429
"313","Exocoecaria agallocha L.","Sonneratia caeseolaris (L.) Engl.",53.0867941392409
"314","Cynometra ramiflora L.","Sonneratia caeseolaris (L.) Engl.",53.0867941392409
"315","Sonneratia alba J. Smith","Sonneratia caeseolaris (L.) Engl.",37.8459475851502
"316","Sonneratia caeseolaris (L.) Engl.","Sonneratia caeseolaris (L.) Engl.",0
"317","sonneratia apetala Buch. - Ham","Sonneratia caeseolaris (L.) Engl.",17.7402879305392
"318","Sonneratia griffithi Kurz ","Sonneratia caeseolaris (L.) Engl.",17.7402879305392
"319","Heritiera globosa Kostermans","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"320","Heritiera fomes Buch.-Ham","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"321","Heritiera littoralis Dryand","Sonneratia caeseolaris (L.) Engl.",73.192453793852
"322","Xylocarpus granatum J. Konig","Sonneratia caeseolaris (L.) Engl.",53.0867941392409
"323","Xylocarpus mekongensis Pierre. ","Sonneratia caeseolaris (L.) Engl.",53.0867941392409
"324","Xylocarpus moluccensis (Lamk.)","Sonneratia caeseolaris (L.) Engl.",53.0867941392409
"325","Phoenix paludosa Roxb.","Sonneratia caeseolaris (L.) Engl.",100
"326","Aegialitis rotundifolia Roxb.","Sonneratia caeseolaris (L.) Engl.",73.192453793852
